# step  time_ps  T_K  Epot_eV  Ekin_eV  Etot_eV  step_s
   16850    8.4250    50.27   -3009.8174     1.4035   -3008.4139   0.127
   16900    8.4500    49.18   -3009.6997     1.3732   -3008.3265   0.127
   16950    8.4750    48.78   -3009.7329     1.3620   -3008.3709   0.127
   17000    8.5000    45.44   -3009.6448     1.2686   -3008.3762   0.127
   17050    8.5250    51.09   -3009.8855     1.4263   -3008.4592   0.127
   17100    8.5500    50.12   -3009.8005     1.3993   -3008.4013   0.127
   17150    8.5750    48.11   -3009.8369     1.3433   -3008.4936   0.127
   17200    8.6000    47.74   -3009.8462     1.3329   -3008.5133   0.127
   17250    8.6250    45.60   -3009.8140     1.2733   -3008.5407   0.127
   17300    8.6500    47.46   -3009.8054     1.3252   -3008.4803   0.127
   17350    8.6750    46.54   -3009.8145     1.2994   -3008.5150   0.127
   17400    8.7000    50.38   -3009.8750     1.4067   -3008.4683   0.127
   17450    8.7250    51.06   -3009.8530     1.4256   -3008.4275   0.127
   17500    8.7500    47.37   -3009.7246     1.3227   -3008.4019   0.127
   17550    8.7750    54.45   -3009.8503     1.5204   -3008.3300   0.127
   17600    8.8000    50.16   -3009.7363     1.4004   -3008.3359   0.127
   17650    8.8250    50.20   -3009.7131     1.4015   -3008.3117   0.126
   17700    8.8500    42.03   -3009.5466     1.1734   -3008.3733   0.127
   17750    8.8750    47.87   -3009.7051     1.3364   -3008.3687   0.127
   17800    8.9000    49.30   -3009.6519     1.3764   -3008.2755   0.127
   17850    8.9250    54.71   -3009.7161     1.5274   -3008.1886   0.127
   17900    8.9500    50.77   -3009.6616     1.4176   -3008.2440   0.127
   17950    8.9750    49.31   -3009.6731     1.3766   -3008.2965   0.127
   18000    9.0000    53.57   -3009.8066     1.4956   -3008.3111   0.128
   18050    9.0250    51.49   -3009.6353     1.4377   -3008.1975   0.127
   18100    9.0500    55.35   -3009.6023     1.5454   -3008.0569   0.127
   18150    9.0750    51.59   -3009.6311     1.4404   -3008.1907   0.127
